,0
0,GOBP_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES
1,GOBP_OSTEOBLAST_DIFFERENTIATION
2,GOBP_TEMPERATURE_HOMEOSTASIS
3,GOBP_FORMATION_OF_PRIMARY_GERM_LAYER
4,GOBP_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE
5,GOBP_NEURON_MIGRATION
6,GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION
7,GOBP_PLACENTA_DEVELOPMENT
8,GOBP_TISSUE_HOMEOSTASIS
9,GOBP_ENDOTHELIAL_CELL_PROLIFERATION
10,GOBP_REGULATION_OF_CELL_MATRIX_ADHESION
11,GOBP_SPROUTING_ANGIOGENESIS
12,GOBP_EPITHELIAL_CELL_DEVELOPMENT
13,GOBP_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY
14,GOBP_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY
15,GOBP_LYMPHOCYTE_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE
16,GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE
17,GOBP_ACUTE_INFLAMMATORY_RESPONSE
18,GOBP_MYELOID_LEUKOCYTE_DIFFERENTIATION
19,GOBP_PLATELET_DEGRANULATION
20,GOBP_REGULATION_OF_LEUKOCYTE_MIGRATION
21,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_MIGRATION
22,GOBP_REGULATION_OF_LEUKOCYTE_CHEMOTAXIS
23,GOBP_POSITIVE_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS
24,GOBP_REGULATION_OF_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE
25,GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY
26,GOBP_REGULATION_OF_MYELOID_LEUKOCYTE_DIFFERENTIATION
27,GOBP_POSITIVE_REGULATION_OF_PEPTIDE_SECRETION
28,GOBP_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE
29,GOBP_HEART_MORPHOGENESIS
30,GOBP_HEART_PROCESS
31,GOBP_VASCULAR_PROCESS_IN_CIRCULATORY_SYSTEM
32,GOBP_ENDOTHELIUM_DEVELOPMENT
33,GOBP_CARDIAC_CHAMBER_DEVELOPMENT
34,GOBP_CARDIAC_CHAMBER_MORPHOGENESIS
35,GOBP_MONOSACCHARIDE_METABOLIC_PROCESS
36,GOBP_GLUCOSE_METABOLIC_PROCESS
37,GOBP_AMINOGLYCAN_METABOLIC_PROCESS
38,GOBP_CELLULAR_MODIFIED_AMINO_ACID_METABOLIC_PROCESS
39,GOBP_STEROID_BIOSYNTHETIC_PROCESS
40,GOBP_ISOPRENOID_METABOLIC_PROCESS
41,GOBP_TERPENOID_METABOLIC_PROCESS
42,GOBP_CELL_CELL_JUNCTION_ASSEMBLY
43,GOBP_CELL_CYCLE_ARREST
44,GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES
45,GOBP_CELL_MATRIX_ADHESION
46,GOBP_NEGATIVE_REGULATION_OF_CELL_ADHESION
47,GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_CELL_POLARITY
48,GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY
49,GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY
50,GOBP_NOTCH_SIGNALING_PATHWAY
51,GOBP_INTEGRIN_MEDIATED_SIGNALING_PATHWAY
52,GOBP_I_KAPPAB_KINASE_NF_KAPPAB_SIGNALING
53,GOBP_GASTRULATION
54,GOBP_SEX_DIFFERENTIATION
55,GOBP_RESPONSE_TO_NUTRIENT
56,GOBP_DIGESTION
57,GOBP_CIRCADIAN_RHYTHM
58,GOBP_REGULATION_OF_HEART_CONTRACTION
59,GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION
60,GOBP_REGULATION_OF_BLOOD_PRESSURE
61,GOBP_REGULATION_OF_CELL_SHAPE
62,GOBP_RESPONSE_TO_TEMPERATURE_STIMULUS
63,GOBP_RESPONSE_TO_MECHANICAL_STIMULUS
64,GOBP_RESPONSE_TO_TOXIC_SUBSTANCE
65,GOBP_RESPONSE_TO_CARBOHYDRATE
66,GOBP_ANTERIOR_POSTERIOR_PATTERN_SPECIFICATION
67,GOBP_GLIAL_CELL_DIFFERENTIATION
68,GOBP_NEGATIVE_REGULATION_OF_PEPTIDASE_ACTIVITY
69,GOBP_REGULATION_OF_SIGNALING_RECEPTOR_ACTIVITY
70,GOBP_REGULATION_OF_ENDOTHELIAL_CELL_MIGRATION
71,GOBP_REGULATION_OF_EPITHELIAL_CELL_MIGRATION
72,GOBP_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_MIGRATION
73,GOBP_POSITIVE_REGULATION_OF_CELL_DEVELOPMENT
74,GOBP_NEGATIVE_REGULATION_OF_CELL_DEVELOPMENT
75,GOBP_REGULATION_OF_CELL_SUBSTRATE_ADHESION
76,GOBP_POSITIVE_REGULATION_OF_CELL_SUBSTRATE_ADHESION
77,GOBP_POSITIVE_REGULATION_OF_PEPTIDASE_ACTIVITY
78,GOBP_REGULATION_OF_METAL_ION_TRANSPORT
79,GOBP_PHOSPHATIDYLINOSITOL_3_KINASE_SIGNALING
80,GOBP_REGULATION_OF_PHOSPHATIDYLINOSITOL_3_KINASE_SIGNALING
81,GOBP_MONOCARBOXYLIC_ACID_TRANSPORT
82,GOBP_ORGANIC_HYDROXY_COMPOUND_TRANSPORT
83,GOBP_CARBOHYDRATE_BIOSYNTHETIC_PROCESS
84,GOBP_ORGANIC_ACID_CATABOLIC_PROCESS
85,GOBP_PROTEIN_PROCESSING
86,GOBP_CALCIUM_MEDIATED_SIGNALING
87,GOBP_TELENCEPHALON_DEVELOPMENT
88,GOBP_DEVELOPMENTAL_MATURATION
89,GOBP_NEGATIVE_REGULATION_OF_CELL_CELL_ADHESION
90,GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION
91,GOBP_GLAND_MORPHOGENESIS
92,GOBP_PEPTIDE_HORMONE_SECRETION
93,GOBP_INSULIN_SECRETION
94,GOBP_REGULATION_OF_ENDOCYTOSIS
95,GOBP_PLATELET_ACTIVATION
96,GOBP_NEGATIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY
97,GOBP_B_CELL_DIFFERENTIATION
98,GOBP_T_CELL_DIFFERENTIATION
99,GOBP_REGULATION_OF_OSSIFICATION
100,GOBP_NEGATIVE_REGULATION_OF_CELL_GROWTH
101,GOBP_INTRACELLULAR_RECEPTOR_SIGNALING_PATHWAY
102,GOBP_LEUKOCYTE_CHEMOTAXIS
103,GOBP_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION
104,GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION
105,GOBP_STRESS_ACTIVATED_PROTEIN_KINASE_SIGNALING_CASCADE
106,GOBP_REGENERATION
107,GOBP_POSITIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY
108,GOBP_NEGATIVE_REGULATION_OF_DEFENSE_RESPONSE
109,GOBP_CELLULAR_RESPONSE_TO_EXTRACELLULAR_STIMULUS
110,GOBP_RESPONSE_TO_CORTICOSTEROID
111,GOBP_REGULATION_OF_PROTEIN_POLYMERIZATION
112,GOBP_RESPONSE_TO_ESTRADIOL
113,GOBP_REGULATION_OF_TRANSPORTER_ACTIVITY
114,GOBP_INTERLEUKIN_1_PRODUCTION
115,GOBP_INTERLEUKIN_6_PRODUCTION
